step;time;vehicles
1; 1.0; 100
2; 2.0; 100
3; 3.0; 100
4; 4.0; 100
5; 5.0; 100
6; 6.0; 100
7; 7.0; 100
8; 8.0; 100
9; 9.0; 100
10; 10.0; 100
11; 11.0; 100
12; 12.0; 100
13; 13.0; 100
14; 14.0; 100
15; 15.0; 100
16; 16.0; 100
17; 17.0; 100
18; 18.0; 100
19; 19.0; 100
20; 20.0; 100
21; 21.0; 100
22; 22.0; 100
23; 23.0; 100
24; 24.0; 100
25; 25.0; 100
26; 26.0; 100
27; 27.0; 100
28; 28.0; 100
29; 29.0; 100
30; 30.0; 100
31; 31.0; 100
32; 32.0; 100
33; 33.0; 100
34; 34.0; 100
35; 35.0; 100
36; 36.0; 100
37; 37.0; 100
38; 38.0; 100
39; 39.0; 100
40; 40.0; 100
41; 41.0; 100
42; 42.0; 100
43; 43.0; 100
44; 44.0; 100
45; 45.0; 100
46; 46.0; 100
47; 47.0; 100
48; 48.0; 100
49; 49.0; 100
50; 50.0; 100
51; 51.0; 100
52; 52.0; 100
53; 53.0; 100
54; 54.0; 100
55; 55.0; 100
56; 56.0; 100
57; 57.0; 100
58; 58.0; 100
59; 59.0; 100
60; 60.0; 100
61; 61.0; 100
62; 62.0; 100
63; 63.0; 100
64; 64.0; 100
65; 65.0; 100
66; 66.0; 100
67; 67.0; 100
68; 68.0; 100
69; 69.0; 100
70; 70.0; 100
71; 71.0; 100
72; 72.0; 100
73; 73.0; 100
74; 74.0; 100
75; 75.0; 100
76; 76.0; 100
77; 77.0; 100
78; 78.0; 100
79; 79.0; 100
80; 80.0; 100
81; 81.0; 100
82; 82.0; 100
83; 83.0; 100
84; 84.0; 100
85; 85.0; 100
86; 86.0; 100
87; 87.0; 100
88; 88.0; 100
89; 89.0; 100
90; 90.0; 100
91; 91.0; 100
92; 92.0; 100
93; 93.0; 100
94; 94.0; 100
95; 95.0; 100
96; 96.0; 100
97; 97.0; 100
98; 98.0; 100
99; 99.0; 100
100; 100.0; 100
101; 101.0; 101
